date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,city_name,latitude,longitude,category_vent,category_pluie,category_temperature,risk_score,niveau_risk
2026-09-15,24.3,22.4,0.0,2,34.3,42.1,1,Ad Dakhla,23.725834,-15.966187,Vent fort,faible,agreable,25,faible
2026-09-16,23.7,21.9,0.0,0,35.8,44.6,0,Ad Dakhla,23.725834,-15.966187,Vent fort,faible,agreable,25,faible
2026-09-17,22.1,20.0,0.0,0,42.1,52.9,1,Ad Dakhla,23.725834,-15.966187,Vent fort,faible,agreable,25,faible
2026-09-15,33.2,21.0,0.0,0,16.7,32.4,2,Ad Darwa,33.4375,-7.5625,Vent fort,faible,chaud,30,moyen
2026-09-16,27.8,19.5,0.0,0,17.5,33.8,45,Ad Darwa,33.4375,-7.5625,Vent fort,faible,agreable,20,faible
2026-09-17,27.4,18.8,0.0,0,16.3,31.7,3,Ad Darwa,33.4375,-7.5625,Vent fort,faible,agreable,20,faible
2026-09-15,34.4,26.1,0.0,5,9.0,27.0,3,Agadir,30.4375,-9.5625,moyen,faible,chaud,30,moyen
2026-09-16,38.1,24.5,0.0,0,20.4,49.0,0,Agadir,30.4375,-9.5625,Vent fort,faible,chaud,40,moyen
2026-09-17,28.3,20.9,0.0,0,14.7,40.7,2,Agadir,30.4375,-9.5625,Vent fort,faible,agreable,30,moyen
2026-09-15,32.7,20.0,0.0,0,22.0,43.6,3,Aguelmous,33.125,-5.8125,Vent fort,faible,chaud,40,moyen
2026-09-16,29.3,16.2,0.0,0,17.3,34.6,1,Aguelmous,33.125,-5.8125,Vent fort,faible,agreable,20,faible
2026-09-17,29.0,15.9,0.0,10,19.1,37.4,3,Aguelmous,33.125,-5.8125,Vent fort,faible,agreable,30,moyen
2026-09-15,31.7,20.0,0.0,0,17.6,34.6,0,Ain El Aouda,33.8125,-6.8125,Vent fort,faible,chaud,30,moyen
2026-09-16,27.4,18.6,0.0,0,20.6,40.7,2,Ain El Aouda,33.8125,-6.8125,Vent fort,faible,agreable,30,moyen
2026-09-17,27.4,16.7,0.0,0,16.5,32.4,3,Ain El Aouda,33.8125,-6.8125,Vent fort,faible,agreable,20,faible
2026-09-15,36.5,25.5,0.0,0,20.2,33.8,3,Ait Ali,30.1875,-9.5,Vent fort,faible,chaud,30,moyen
2026-09-16,31.6,22.4,0.0,0,24.9,40.0,1,Ait Ali,30.1875,-9.5,Vent fort,faible,chaud,40,moyen
2026-09-17,27.4,20.9,0.0,0,27.0,43.6,3,Ait Ali,30.1875,-9.5,Vent fort,faible,agreable,30,moyen
2026-09-15,35.0,25.7,0.0,8,15.5,32.0,3,Ait Melloul,30.3125,-9.5,Vent fort,faible,chaud,30,moyen
2026-09-16,30.1,21.7,0.0,0,19.1,35.6,1,Ait Melloul,30.3125,-9.5,Vent fort,faible,chaud,40,moyen
2026-09-17,27.3,21.5,0.0,0,18.8,37.1,2,Ait Melloul,30.3125,-9.5,Vent fort,faible,agreable,30,moyen
2026-09-15,36.1,24.7,0.0,3,22.4,45.4,3,Ait Ourir,31.5625,-7.6875,Vent fort,faible,chaud,40,moyen
2026-09-16,32.9,20.0,0.0,0,14.9,28.1,1,Ait Ourir,31.5625,-7.6875,moyen,faible,chaud,30,moyen
2026-09-17,28.9,17.7,0.0,8,10.0,20.2,3,Ait Ourir,31.5625,-7.6875,moyen,faible,agreable,20,faible
2026-09-15,29.1,18.2,0.0,0,17.1,29.9,45,Al Aaroui,35.0,-3.0,moyen,faible,agreable,20,faible
2026-09-16,32.8,17.6,0.0,0,15.5,27.4,3,Al Aaroui,35.0,-3.0,moyen,faible,chaud,30,moyen
2026-09-17,26.7,17.3,0.0,1,18.9,33.5,3,Al Aaroui,35.0,-3.0,Vent fort,faible,agreable,20,faible
2026-09-15,39.3,22.6,0.0,3,19.3,37.1,2,Al Fqih Ben Çalah,32.5,-6.6875,Vent fort,faible,chaud,40,moyen
